Nama File,Status Encoding,Codec Video,Codec Audio,Resolution,Frame Rate,Pixel Format,Profile,Audio Sample Rate,File Size,Duration,Faststart,Valid Meta & TikTok (Ya/Tidak),Catatan Error bila ada
Kucing_HD_133.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,8.05 MB,12.89s,Ya,Ya,None
Kucing_HD_134.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,2.26 MB,5.27s,Ya,Ya,None
Kucing_HD_135.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,5.70 MB,14.84s,Ya,Ya,None
Kucing_HD_136.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,3.09 MB,6.48s,Ya,Ya,None
Kucing_HD_137.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,3.15 MB,6.90s,Ya,Ya,None
Kucing_HD_138.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,5.92 MB,10.94s,Ya,Ya,None
Kucing_HD_139.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,9.58 MB,22.04s,Ya,Ya,None
Kucing_HD_140.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,4.61 MB,17.16s,Ya,Ya,None
Kucing_HD_141.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,25.41 MB,27.14s,Ya,Ya,None
Kucing_HD_142.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,2.22 MB,9.73s,Ya,Ya,None
Kucing_HD_143.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,18.16 MB,20.60s,Ya,Ya,None
Kucing_HD_144.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,3.40 MB,7.27s,Ya,Ya,None
Kucing_HD_145.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,9.45 MB,18.55s,Ya,Ya,None
Kucing_HD_146.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,2.57 MB,4.07s,Ya,Ya,None
Kucing_HD_147.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,14.84 MB,20.36s,Ya,Ya,None
Kucing_HD_148.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,6.01 MB,12.19s,Ya,Ya,None
Kucing_HD_149.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,5.11 MB,11.68s,Ya,Ya,None
Kucing_HD_150.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,2.73 MB,10.89s,Ya,Ya,None
Kucing_HD_151.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,9.40 MB,18.04s,Ya,Ya,None
Kucing_HD_152.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,1.62 MB,5.74s,Ya,Ya,None
Kucing_HD_153.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,10.80 MB,22.04s,Ya,Ya,None
Kucing_HD_154.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,5.06 MB,16.19s,Ya,Ya,None
Kucing_HD_155.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,2.33 MB,6.34s,Ya,Ya,None
Kucing_HD_156.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,2.44 MB,5.23s,Ya,Ya,None
Kucing_HD_157.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,39.00 MB,44.19s,Ya,Ya,None
Kucing_HD_158.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,12.52 MB,29.56s,Ya,Ya,None
Kucing_HD_159.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,3.78 MB,11.31s,Ya,Ya,None
Kucing_HD_160.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,7.63 MB,17.07s,Ya,Ya,None
Kucing_HD_161.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,6.24 MB,14.05s,Ya,Ya,None
Kucing_HD_162.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,3.44 MB,7.08s,Ya,Ya,None
Kucing_HD_163.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,89.37 MB,50.51s,Ya,Ya,None
Kucing_HD_164.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,8.69 MB,17.86s,Ya,Ya,None
Kucing_HD_165.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,10.40 MB,20.13s,Ya,Ya,None
Kucing_HD_166.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,3.36 MB,13.54s,Ya,Ya,None
Kucing_HD_167.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,27.63 MB,79.25s,Ya,Ya,None
Kucing_HD_168.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,5.58 MB,9.78s,Ya,Ya,None
Kucing_HD_169.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,5.39 MB,12.47s,Ya,Ya,None
Kucing_HD_170.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,8.05 MB,14.33s,Ya,Ya,None
Kucing_HD_171.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,3.55 MB,10.10s,Ya,Ya,None
Kucing_HD_172.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,5.00 MB,11.82s,Ya,Ya,None
Kucing_HD_173.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,13.96 MB,15.81s,Ya,Ya,None
Kucing_HD_174.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,5.68 MB,10.98s,Ya,Ya,None
